City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,33.48,93,87,10.69,GS,1698195386
1,puerto natales,-51.7236,-72.4875,42.66,73,82,13.24,CL,1698195400
2,ancud,-41.8697,-73.8203,45.75,88,5,5.17,CL,1698195344
3,bilibino,68.0546,166.4372,9.82,95,31,3.18,RU,1698195400
4,badger,64.8,-147.5333,25.99,84,75,4.61,US,1698195401
5,hammerfest,70.6634,23.6821,27.05,63,100,3.44,NO,1698195349
6,port elizabeth,-33.918,25.5701,58.32,83,0,5.01,ZA,1698195401
7,dingtao,35.0683,115.5625,72.7,45,7,7.11,CN,1698195402
8,flying fish cove,-10.4217,105.6791,80.28,83,75,8.05,CX,1698195333
9,port-aux-francais,-49.35,70.2167,39.78,92,100,29.39,TF,1698195320
10,anadyr,64.75,177.4833,39.7,86,40,17.9,RU,1698195403
11,invercargill,-46.4,168.35,67.01,58,99,5.99,NZ,1698195235
12,tiksi,71.6872,128.8694,-1.28,97,16,10.13,RU,1698195403
13,waitangi,-43.9535,-176.5597,57.81,93,100,7.0,NZ,1698195320
14,punta arenas,-53.15,-70.9167,44.71,65,20,19.57,CL,1698195404
15,copiapo,-27.3667,-70.3333,55.09,50,0,1.34,CL,1698195404
16,bubaque,11.2833,-15.8333,83.41,73,99,4.54,GW,1698195404
17,rongelap,11.1635,166.8941,83.19,76,77,13.58,MH,1698195343
18,chonchi,-42.6128,-73.8092,51.01,95,9,3.67,CL,1698195360
19,iqaluit,63.7506,-68.5145,31.73,74,75,6.91,CA,1698195405
20,andergrove,-21.0833,149.1833,84.65,61,2,7.94,AU,1698195406
21,ust-nera,64.5667,143.2,4.14,96,93,2.17,RU,1698195342
22,thompson,55.7435,-97.8558,28.56,64,100,9.22,CA,1698195406
23,puerto ayora,-0.7393,-90.3518,75.54,93,100,5.99,EC,1698195406
24,ribeira grande,38.5167,-28.7,70.77,95,100,14.0,PT,1698195407
25,karatas,36.582,35.3701,65.05,54,2,6.6,TR,1698195407
26,quellon,-43.1167,-73.6167,44.53,85,10,7.72,CL,1698195407
27,jinjing,24.575,118.5972,77.02,79,36,13.65,CN,1698195408
28,edinburgh of the seven seas,-37.0676,-12.3116,55.31,84,36,23.69,SH,1698195408
29,albany,42.6001,-73.9662,54.59,74,4,3.6,US,1698195408
30,adamstown,-25.066,-130.1015,72.79,79,6,9.06,PN,1698195409
31,onega,63.9061,38.1404,32.2,86,96,8.41,RU,1698195409
32,blackmans bay,-43.0167,147.3167,50.13,75,100,5.99,AU,1698195410
33,olonkinbyen,70.9221,-8.7187,38.86,89,100,3.11,SJ,1698195410
34,karratha,-20.7377,116.8463,95.9,13,0,18.12,AU,1698195410
35,cabo san lucas,22.8909,-109.9124,81.7,63,1,8.01,MX,1698195330
36,caleta de carquin,-11.0925,-77.6267,68.18,87,85,12.26,PE,1698195412
37,dongcun,36.7767,121.1597,68.23,54,0,3.8,CN,1698195412
38,shihezi,44.3,86.0333,44.89,66,0,4.76,CN,1698195412
39,iskateley,67.6803,53.1512,23.02,82,95,10.0,RU,1698195413
40,college,64.8569,-147.8028,26.08,82,75,4.61,US,1698195413
41,tayshet,55.9342,98.0044,31.33,66,100,7.83,RU,1698195413
42,fada,9.5667,8.3,67.77,58,100,2.08,NG,1698195413
43,fale old settlement,-9.3852,-171.2468,83.75,74,5,13.87,TK,1698195414
44,vavuniya,8.7514,80.4971,73.47,96,18,1.01,LK,1698195414
45,papatowai,-46.5619,169.4708,64.27,54,100,2.75,NZ,1698195414
46,brisas de zicatela,15.8369,-97.0419,80.01,85,100,5.93,MX,1698195415
47,tazovsky,67.4667,78.7,19.02,92,79,5.79,RU,1698195328
48,aasiaat,68.7098,-52.8699,21.36,80,100,10.92,GL,1698195415
49,reggane,26.7158,0.1714,85.12,24,100,10.25,DZ,1698195416
50,qaqortoq,60.7167,-46.0333,33.53,54,0,6.38,GL,1698195416
51,urcos,-13.6861,-71.6228,62.49,71,100,5.21,PE,1698195417
52,chester,40.1254,-75.8749,55.33,78,0,4.61,US,1698195155
53,vila velha,-20.3297,-40.2925,76.95,86,0,12.66,BR,1698195331
54,ushuaia,-54.8,-68.3,42.46,75,40,28.77,AR,1698195188
55,lazaro cardenas,17.9583,-102.2,79.25,80,100,7.05,MX,1698195418
56,leo,11.1,-2.1,77.45,61,40,6.69,BF,1698195419
57,avarua,-21.2078,-159.775,75.25,53,20,6.91,CK,1698195317
58,ust-tsilma,65.441,52.1498,23.61,89,24,7.0,RU,1698195420
59,ghugus,19.9333,79.1333,64.71,71,55,3.09,IN,1698195421
60,tingo maria,-9.2895,-76.0088,71.11,97,92,2.62,PE,1698195421
61,gorontalo,0.5412,123.0595,88.88,56,26,4.18,ID,1698195421
62,manfalut,27.3104,30.97,71.85,52,0,8.79,EG,1698195422
63,nar'yan-mar,67.6713,53.087,23.11,82,94,10.0,RU,1698195335
